valid_loss,epoch,step,train_loss
0.1107633113861084,0,4,
,0,4,0.18131493031978607
0.10741517692804337,1,9,
,1,9,0.11244416236877441
0.10599640011787415,2,14,
,2,14,0.10849424451589584
0.09908229112625122,3,19,
,3,19,0.10419737547636032
0.0903981551527977,4,24,
,4,24,0.09581308811903
0.08595362305641174,5,29,
,5,29,0.0886215791106224
0.08313252776861191,6,34,
,6,34,0.0845593735575676
0.08176860213279724,7,39,
,7,39,0.08199506253004074
0.080152228474617,8,44,
,8,44,0.08087874203920364
0.07858655601739883,9,49,
,9,49,0.07969366014003754
0.07769092172384262,10,54,
,10,54,0.07850837707519531
0.0761200413107872,11,59,
,11,59,0.07725126296281815
0.0736924260854721,12,64,
,12,64,0.07548356056213379
0.07247529178857803,13,69,
,13,69,0.07368531823158264
0.07094553858041763,14,74,
,14,74,0.07217511534690857
0.06968232989311218,15,79,
,15,79,0.07081840187311172
0.06815599650144577,16,84,
,16,84,0.06925103813409805
0.06652390211820602,17,89,
,17,89,0.06729713827371597
0.06513290852308273,18,94,
,18,94,0.06567502021789551
0.06302156299352646,19,99,
,19,99,0.0639667734503746
0.062166959047317505,20,104,
,20,104,0.062160320580005646
0.0614498071372509,21,109,
,21,109,0.06121949478983879
0.060932986438274384,22,114,
,22,114,0.06061664596199989
0.06062369793653488,23,119,
,23,119,0.06020793691277504
0.0602472685277462,24,124,
,24,124,0.05989518761634827
0.05982762947678566,25,129,
,25,129,0.05945642665028572
0.05960701406002045,26,134,
,26,134,0.059125352650880814
0.059221673756837845,27,139,
,27,139,0.05883928760886192
0.05910800024867058,28,144,
,28,144,0.058583732694387436
0.058719899505376816,29,149,
,29,149,0.058308664709329605
0.05852038785815239,30,154,
,30,154,0.05806838348507881
0.05829261615872383,31,159,
,31,159,0.057737234979867935
0.058005813509225845,32,164,
,32,164,0.0576816201210022
0.05829169973731041,33,169,
,33,169,0.05742070451378822
0.057658858597278595,34,174,
,34,174,0.0573570691049099
0.05739820376038551,35,179,
,35,179,0.057002875953912735
0.056717708706855774,36,184,
,36,184,0.05675401911139488
0.056485865265131,37,189,
,37,189,0.05614209175109863
0.05655805394053459,38,194,
,38,194,0.05584298074245453
0.05515424534678459,39,199,
,39,199,0.0557795912027359
0.05556304380297661,40,204,
,40,204,0.055060867220163345
0.054970961064100266,41,209,
,41,209,0.05502376705408096
0.05477336794137955,42,214,
,42,214,0.054510343819856644
0.05458934232592583,43,219,
,43,219,0.054270774126052856
0.05453864485025406,44,224,
,44,224,0.0541132353246212
0.05443643778562546,45,229,
,45,229,0.0540006197988987
0.05436185002326965,46,234,
,46,234,0.05387432500720024
0.05427393317222595,47,239,
,47,239,0.05376240611076355
0.05421927198767662,48,244,
,48,244,0.05365370959043503
0.05405315011739731,49,249,
,49,249,0.053575776517391205
0.053904760628938675,50,254,
,50,254,0.053445909172296524
0.05394161865115166,51,259,
,51,259,0.05335826799273491
0.05374753847718239,52,264,
,52,264,0.053426068276166916
0.05364508926868439,53,269,
,53,269,0.05321117490530014
0.05358531326055527,54,274,
,54,274,0.053140174597501755
0.05344986543059349,55,279,
,55,279,0.053044628351926804
0.053192563354969025,56,284,
,56,284,0.0530816949903965
0.05298906937241554,57,289,
,57,289,0.05298274755477905
0.053473100066185,58,294,
,58,294,0.05261049047112465
0.053292930126190186,59,299,
,59,299,0.05275855213403702
0.052201300859451294,60,304,
,60,304,0.05246638506650925
0.053407251834869385,61,309,
,61,309,0.05261121690273285
0.054940659552812576,62,314,
,62,314,0.05284549295902252
0.051717765629291534,63,319,
,63,319,0.05274052545428276
0.051501356065273285,64,324,
,64,324,0.051358412951231
0.05023902282118797,65,329,
,65,329,0.050563059747219086
0.050083376467227936,66,334,
,66,334,0.04996749758720398
0.04986356943845749,67,339,
,67,339,0.049795001745224
0.049769122153520584,68,344,
,68,344,0.049635592848062515
0.04973995313048363,69,349,
,69,349,0.049496665596961975
0.04960288107395172,70,354,
,70,354,0.04942113533616066
0.049547579139471054,71,359,
,71,359,0.04937884956598282
0.04952792078256607,72,364,
,72,364,0.049314454197883606
0.04951901733875275,73,369,
,73,369,0.04928692802786827
0.04948558658361435,74,374,
,74,374,0.04927172511816025
0.049487240612506866,75,379,
,75,379,0.04925397410988808
0.04947245493531227,76,384,
,76,384,0.04923457279801369
0.04945169389247894,77,389,
,77,389,0.04921841621398926
0.04944758117198944,78,394,
,78,394,0.049201566725969315
0.049432091414928436,79,399,
,79,399,0.04919426515698433
0.04943486303091049,80,404,
,80,404,0.049181193113327026
0.049408383667469025,81,409,
,81,409,0.049177125096321106
0.049415696412324905,82,414,
,82,414,0.04916364327073097
0.04939576983451843,83,419,
,83,419,0.04915810376405716
0.04942695051431656,84,424,
,84,424,0.04915379360318184
0.04937812313437462,85,429,
,85,429,0.049156881868839264
0.048104751855134964,86,434,
,86,434,0.048904113471508026
0.054448202252388,87,439,
,87,439,0.05163584649562836
0.05151960998773575,88,444,
,88,444,0.053505416959524155
0.051585618406534195,89,449,
,89,449,0.0516180582344532
0.050365250557661057,90,454,
,90,454,0.05076846852898598
0.050034791231155396,91,459,
,91,459,0.05017349123954773
0.0501614473760128,92,464,
,92,464,0.0498177669942379
0.04995618760585785,93,469,
,93,469,0.04975871369242668
0.05024141073226929,94,474,
,94,474,0.04965680092573166
0.05024733394384384,95,479,
,95,479,0.05008532106876373
0.05026615783572197,96,484,
,96,484,0.04965217038989067
0.04968671128153801,97,489,
,97,489,0.049606576561927795
0.049621425569057465,98,494,
,98,494,0.04935409501194954
0.049510855227708817,99,499,
,99,499,0.04928988590836525
